Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-0.348	5.504443	18.0	-12.0	20.0	-0.13494958	0.17924787	0.6853157	-0.35388777	5000	0.10239375	11.885047	0.0	-3.9582362	1.2453667	1.1527538e-08	1.694338083267212
1	0.04	4.912678	18.0	-12.0	20.0	-1.4767818	0.8649984	0.22648805	-2.4311852	10000	0.09360536	7.5530257	0.0	-0.98931074	1.2478803	1.4472008e-08	3.197535276412964
2	0.116	5.1651278	16.0	-12.0	20.0	-1.7509774	1.3591568	1.329353	-3.1847308	15000	0.09418273	7.0713186	0.0	-0.83691645	1.2520856	-8.797645e-09	4.68265700340271
3	-0.136	5.2235527	17.0	-12.0	20.0	-1.4851937	1.7143081	2.4221358	-3.2193274	20000	0.08464383	6.621614	0.0	-0.53671455	1.2571473	3.8146972e-10	6.2522900104522705
4	0.668	4.949927	16.0	-12.0	20.0	-1.3844634	1.9004459	2.6360195	-3.1334088	25000	0.08778393	5.7847166	0.0	-0.30688524	1.2639655	1.0335445e-08	7.808434247970581
5	0.012	4.6479945	12.0	-13.0	20.0	-1.1004711	2.206502	3.6061308	-3.0015478	30000	0.08275012	5.0798154	0.0	-0.15186119	1.260278	-1.335144e-09	9.377270936965942
6	0.192	5.057582	20.0	-12.0	20.0	-1.2434814	2.242579	3.6841054	-3.0249286	35000	0.08210433	5.349223	0.0	-0.05020809	1.2666976	1.9526482e-08	10.988898992538452
7	0.072	5.3286786	17.0	-12.0	20.0	-1.0605929	2.3183062	3.9138794	-3.0550585	40000	0.06720136	5.8360767	0.0	-0.07803345	1.2702887	9.453297e-09	12.529855966567993
8	0.728	4.882419	16.0	-11.0	20.0	-1.0193949	2.2045963	3.8030581	-2.9249942	45000	0.06229564	5.17489	0.0	-0.06241274	1.27912	1.5497208e-10	14.073108196258545
9	0.296	4.9396744	18.0	-12.0	20.0	-1.068546	2.287922	4.2984185	-2.9758472	50000	0.06898044	5.004739	0.0	-0.051921844	1.2754121	-1.3506413e-08	15.681498050689697
10	0.848	5.0731544	20.0	-12.0	20.0	-1.0874231	2.3129406	4.4018674	-3.031868	55000	0.09033151	5.3545437	0.0	-0.11695051	1.2772325	2.9206275e-09	17.330567121505737
11	1.296	5.1318984	19.0	-10.0	20.0	-0.8951502	2.395478	4.584252	-3.0278635	60000	0.08100637	5.2825923	0.0	-0.09148455	1.2782533	-1.1456013e-08	18.884618282318115
